disco,date,band,energy_kwh
AEDC,01/11/2020,lifeline,1477
AEDC,01/11/2020,band_a,117256978
AEDC,01/11/2020,band_b,28507453
AEDC,01/11/2020,band_c,16950850
AEDC,01/11/2020,band_d,45160575
AEDC,01/11/2020,band_e,11256207
AEDC,01/12/2020,lifeline,8764
AEDC,01/12/2020,band_a,120776360
AEDC,01/12/2020,band_b,22221500
AEDC,01/12/2020,band_c,15809578
AEDC,01/12/2020,band_d,44851845
AEDC,01/12/2020,band_e,10291202
AEDC,01/01/2021,lifeline,21968
AEDC,01/01/2021,band_a,117464413
AEDC,01/01/2021,band_b,25044317
AEDC,01/01/2021,band_c,17866533
AEDC,01/01/2021,band_d,53512330
AEDC,01/01/2021,band_e,12130981
AEDC,01/02/2021,lifeline,45777
AEDC,01/02/2021,band_a,126489248
AEDC,01/02/2021,band_b,29277329
AEDC,01/02/2021,band_c,17960255
AEDC,01/02/2021,band_d,45468484
AEDC,01/02/2021,band_e,9511333
AEDC,01/03/2021,lifeline,1473
AEDC,01/03/2021,band_a,131216617
AEDC,01/03/2021,band_b,25407367
AEDC,01/03/2021,band_c,17064867
AEDC,01/03/2021,band_d,49285800
AEDC,01/03/2021,band_e,10109476
AEDC,01/04/2021,lifeline,826
AEDC,01/04/2021,band_a,123869171
AEDC,01/04/2021,band_b,22929434
AEDC,01/04/2021,band_c,16961564
AEDC,01/04/2021,band_d,49225261
AEDC,01/04/2021,band_e,9352969
AEDC,01/05/2021,lifeline,850
AEDC,01/05/2021,band_a,112455713
AEDC,01/05/2021,band_b,20721622
AEDC,01/05/2021,band_c,14464156
AEDC,01/05/2021,band_d,46918413
AEDC,01/05/2021,band_e,8879826
AEDC,01/06/2021,lifeline,1326
AEDC,01/06/2021,band_a,110272037
AEDC,01/06/2021,band_b,20739134
AEDC,01/06/2021,band_c,15997487
AEDC,01/06/2021,band_d,44849310
AEDC,01/06/2021,band_e,8833722
AEDC,01/07/2021,lifeline,4025
AEDC,01/07/2021,band_a,120521457
AEDC,01/07/2021,band_b,24124547
AEDC,01/07/2021,band_c,19073807
AEDC,01/07/2021,band_d,49163440
AEDC,01/07/2021,band_e,10073571
AEDC,01/08/2021,lifeline,12257
AEDC,01/08/2021,band_a,117453564
AEDC,01/08/2021,band_b,21173454
AEDC,01/08/2021,band_c,16634111
AEDC,01/08/2021,band_d,46662185
AEDC,01/08/2021,band_e,9380746
AEDC,01/09/2021,lifeline,6435
AEDC,01/09/2021,band_a,124080539
AEDC,01/09/2021,band_b,21679618
AEDC,01/09/2021,band_c,16269174
AEDC,01/09/2021,band_d,46855736
AEDC,01/09/2021,band_e,8510503
AEDC,01/10/2021,lifeline,4361
AEDC,01/10/2021,band_a,129941059
AEDC,01/10/2021,band_b,23208976
AEDC,01/10/2021,band_c,16626468
AEDC,01/10/2021,band_d,46623773
AEDC,01/10/2021,band_e,8891346
AEDC,01/11/2021,lifeline,6526
AEDC,01/11/2021,band_a,137050845
AEDC,01/11/2021,band_b,23587459
AEDC,01/11/2021,band_c,17333528
AEDC,01/11/2021,band_d,48149998
AEDC,01/11/2021,band_e,9148073
AEDC,01/12/2021,lifeline,10394
AEDC,01/12/2021,band_a,128071083
AEDC,01/12/2021,band_b,22123255
AEDC,01/12/2021,band_c,16770464
AEDC,01/12/2021,band_d,46999870
AEDC,01/12/2021,band_e,9070691
AEDC,01/01/2022,lifeline,17689
AEDC,01/01/2022,band_a,120951535
AEDC,01/01/2022,band_b,21014666
AEDC,01/01/2022,band_c,16349262
AEDC,01/01/2022,band_d,46276124
AEDC,01/01/2022,band_e,8113325
AEDC,01/02/2022,lifeline,9024
AEDC,01/02/2022,band_a,121731599
AEDC,01/02/2022,band_b,21316928
AEDC,01/02/2022,band_c,14971267
AEDC,01/02/2022,band_d,47225734
AEDC,01/02/2022,band_e,7857476
AEDC,01/03/2022,lifeline,7019
AEDC,01/03/2022,band_a,123528143
AEDC,01/03/2022,band_b,23753265
AEDC,01/03/2022,band_c,14952634
AEDC,01/03/2022,band_d,47306558
AEDC,01/03/2022,band_e,7388297
AEDC,01/04/2022,lifeline,11800
AEDC,01/04/2022,band_a,118122959
AEDC,01/04/2022,band_b,21545864
AEDC,01/04/2022,band_c,13757363
